Here is the list of increments for K=12 for G=5 and F=2. The increments are over the modified Cappellaro method. In other words we have updated the phase with 0.5*arg(b_{-2^(k+1)}) for the detections in the interaction time
 2^k*tau  and with 0.5*arg(b_{2^k}) when the interaction time is changed from 2^k*tau to 2^(k-1)*tau. The phase is then incremented based on the measurement result according to the following lists.
If the measurement gives u=1, with the  probability p(u=1)=(fa+fi-(fa-fi)*vis*cos(2**(K-k)phi-theta))/2, the corresponding increment in the u=1 list is used and if 
the measurement gives u=0, with the probability p(u=0)=1-p(u=1), then the corresponding phase in the u=0 list is used.
The first controlled phase is set to zero and the updating is started from the second controlled phase.
For this value of K (K=12), N=57311 and the swarm optimization gives NV_H=0.011308963581548204.
increments for u=1				time (multiplied by tau)
-9.4256384724433762E-002                   2^2
-6.4003510922696627E-002                   2^2
-1.171431987375218                         2^2
1.269816831884981                          2
-0.1463782682392467                        2
-1.129050899334987                         2
-1.075442457718141                         2
0.6748219943913512                         2
2.424289036227625                          2
-0.4670859062262416                        2
0.3104575159259668                         2
1.143929922514978                          2
-2.098275695254744                         2
0.1686011240910212                         2
-0.6401838459611708                        2
-0.1321672077973997                        2
-1.045326218599819                         2
-0.1224089779107285                        2
0.1805029176277433                         2
0.7172473997107356                         2
-1.986734528635234                         2
0.4952191950580560                         2
-0.4307140588833493                        2
1.165845196575916                          2
-0.3474592116617634                        2
0.3258368054437204                         2
3.6631906160601968E-002                    2
5.8684329989563189E-002                    2
-8.2252319966806375E-002                   2
-0.7426008072399122                        2
1.781202084294662                          1
8.2118739383159056E-002                    1
-1.8122322144247249E-002                   1
-0.3371324470847661                        1
0.3804160707514139                         1
-0.5127917360790373                        1
0.2769498389084282                         1
-0.5178277187974949                        1
1.376488715680743                          1
-0.6329039255054973                        1
-1.382204039660868                         1
0.9596716450687133                         1
-0.1215849730850724                        1
2.3638420690778705E-002                    1
-1.600051750560730                         1
0.9592457067465485                         1
0.1479251660155203                         1
0.2758545045583425                         1
0.7731389343101300                         1
-0.6623510433376665                        1
0.5594927310459838                         1
0.1567483699342067                         1
-1.635603700611908                         1
-5.3086801210949996E-002                   1
-2.057265761297240                         1
-0.9129327366455122                        1
-0.1007365207983959                        1
-7.9805363309165323E-002                   1
-0.4363368407524022                        1
